date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,canonical_region_id,canonical_district_id,source_dataset
1996-05-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,2433.0,0.93,SO22,,WFP Somalia Food Prices via HDX
1996-05-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3400.0,1.3,SO16,SO1601,WFP Somalia Food Prices via HDX
1996-05-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,3750.0,1.43,SO16,SO1601,WFP Somalia Food Prices via HDX
1996-05-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,3500.0,1.34,SO16,SO1601,WFP Somalia Food Prices via HDX
1996-05-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1950.0,0.74,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-05-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4450.0,1.7,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-05-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1350.0,0.52,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-05-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,4500.0,1.72,SO28,SO2801,WFP Somalia Food Prices via HDX
1996-05-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,5500.0,2.1,SO28,SO2801,WFP Somalia Food Prices via HDX
1996-05-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,705.0,0.27,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-05-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,867.0,0.33,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-05-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,669.0,0.26,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-06-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,633.0,0.24,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-06-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1042.0,0.4,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-06-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,588.0,0.22,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-06-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,2100.0,0.8,SO22,,WFP Somalia Food Prices via HDX
1996-06-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3500.0,1.34,SO16,SO1601,WFP Somalia Food Prices via HDX
1996-06-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4000.0,1.53,SO16,SO1601,WFP Somalia Food Prices via HDX
1996-06-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1863.0,0.71,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-06-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4350.0,1.66,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-06-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1200.0,0.46,SO24,SO2401,WFP Somalia Food Prices via HDX
1996-06-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3500.0,1.34,SO28,SO2801,WFP Somalia Food Prices via HDX
1996-06-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4500.0,1.72,SO28,SO2801,WFP Somalia Food Prices via HDX
1996-06-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,633.0,0.24,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-06-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,873.0,0.33,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-06-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,637.0,0.24,SO12,SO1201,WFP Somalia Food Prices via HDX
1996-07-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,800.0,0.31,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-07-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1200.0,0.46,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-07-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,900.0,0.34,SO11,SO1101,WFP Somalia Food Prices via HDX
1996-07-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1825.0,0.7,SO22,,WFP Somalia Food Prices via HDX
