market_id,market,countryiso3,admin1,admin2,latitude,longitude
6626,Saakow,SOM,Juba Dhexe,Saakow,1.64,42.45
6627,Garbahaarey,SOM,Gedo,Garbahaarey,3.33,42.22
6628,Badhaadhe,SOM,Juba Hoose,Badhaadhe,-1.04,41.5
6629,Jamaame,SOM,Juba Hoose,Jamaame,0.07,42.74
6630,Boondheere,SOM,Banadir,Banadir,2.05,45.34
6631,Cabdulcasiis,SOM,Banadir,Banadir,2.04,45.36
6632,Daynile,SOM,Shabelle Hoose,Afgooye,2.07,45.28
6633,Suuq Bocle,SOM,Shabelle Hoose,Afgooye,2.01,45.25
6634,Bakaara,SOM,Banadir,Banadir,2.05,45.32
6635,Suuqa Xoolaha,SOM,Banadir,Banadir,2.08,45.39
6636,Seybiano,SOM,Shabelle Hoose,Afgooye,2.04,45.3
6637,Shangaani,SOM,Banadir,Banadir,2.04,45.35
6638,Suuqa Liberia/Suuqa Beerta,SOM,Banadir,Banadir,2.02,45.31
6639,Xamar Jajab,SOM,Banadir,Banadir,2.03,45.33
6640,Xamar Weyne,SOM,Banadir,Banadir,2.03,45.34
6641,Suuq Bacaad,SOM,Banadir,Banadir,2.07,45.35
6642,Kahda,SOM,Shabelle Hoose,Afgooye,2.05,45.24
6643,Madina (Shabelle Hoose - Afgooye),SOM,Shabelle Hoose,Afgooye,2.02,45.28
9807,Dhobley,SOM,Juba Hoose,Afmadow,0.41,41.01
9808,Armo,SOM,Bari,Bossaso,10.58,49.06
9809,Raskambooni,SOM,Juba Hoose,Badhaadhe,-1.64,41.59
9810,Burgabo,SOM,Juba Hoose,Badhaadhe,-1.22,41.84
9811,Baligubadle,SOM,Woqooyi Galbeed,Hargeysa,9.01,44
9812,Abud Wak,SOM,Galgaduud,Cabudwaaq,6.15,46.4
9813,Balanbale,SOM,Galgaduud,Cabudwaaq,6.2,46.55
9814,Huurshe,SOM,Galgaduud,Cabudwaaq,6.19,46.46
9815,Xerale,SOM,Galgaduud,Cabudwaaq,6.26,46.56
9816,Baxdo,SOM,Galgaduud,Cadaado,5.79,47.23
9817,Dhahar,SOM,Sanaag,Laasqoray,9.75,48.82
9818,Guri-Ceel,SOM,Galgaduud,Dhuusamarreeb,5.3,45.88
9819,Bacadwayne,SOM,Mudug,Hobyo,5.32,47.91
9820,Saaxo,SOM,Mudug,Gaalkacyo,6.74,46.81
9821,Hafun,SOM,Bari,Iskushuban,10.42,51.26
9822,El Dibir,SOM,Mudug,Hobyo,5.89,48.35
9823,Gawan,SOM,Mudug,Hobyo,5.31,48.3
9824,Xin Barwaqo,SOM,Mudug,Hobyo,5.11,48.35
9825,Yontoy,SOM,Juba Hoose,Kismaayo,-0.12,42.56
9826,Buula Gaduud,SOM,Juba Hoose,Kismaayo,-0.08,42.57
9827,Mahas,SOM,Hiraan,Bulo Burto,4.39,46.09
9828,Mahaday,SOM,Shabelle Dhexe,Jowhar,2.97,45.53
9829,Matabaan,SOM,Hiraan,Belet Weyne,5.2,45.53
9830,Salaxleey,SOM,Woqooyi Galbeed,Hargeysa,9.03,44.21
9831,Ufeyn,SOM,Bari,Bossaso,10.65,49.75
10084,War-sheikh,SOM,Shabelle Dhexe,Balcad,2.3,45.8
10102,Dangoroyo,SOM,Bari,Qardho,8.73,49.34
10103,Badhan,SOM,Sanaag,Ceerigaabo,10.79,48.21
10104,Afbarwaaqo,SOM,Mudug,Hobyo,6.5,48.78
10105,Wisil,SOM,Mudug,Hobyo,5.43,48.12
10106,Xerodhagaxley,SOM,Mudug,Hobyo,5.58,48.23
10107,Laas Bur,SOM,Galgaduud,Cadaado,6.21,47.01
10108,Berdale,SOM,Bay,Buur Hakaba,2.98,44.28
10690,Rage Elle,SOM,Shabelle Dhexe,Balcad,2.57,45.75
10691,Ceeldahir,SOM,Bari,Bossaso,10.63,49.06
10692,Kalabayr,SOM,Bari,Bossaso,10.83,49.25
10693,Cuun,SOM,Nugaal,Garoowe,8.83,48.89
10694,Sunjiif,SOM,Nugaal,Garoowe,8.53,48.99
10695,Kalabeyr,SOM,Nugaal,Burtinle,7.99,48.1
10696,Yoombays,SOM,Nugaal,Garoowe,8.41,48.48
10697,Bursalah,SOM,Mudug,Galdogob,7.17,47.24
10698,Darusalam,SOM,Mudug,Galdogob,7.2,47.21
10699,Beyra,SOM,Mudug,Gaalkacyo,6.95,47.32
10700,Gacanafale,SOM,Mudug,Gaalkacyo,7.04,47.78
10701,Bacaadweyn,SOM,Mudug,Galdogob,7.19,47.53
10702,Agaaran,SOM,Mudug,Gaalkacyo,7.06,47.49
10703,Harfo,SOM,Mudug,Gaalkacyo,7.35,47.62
10704,Bandiradley,SOM,Mudug,Gaalkacyo,6.48,46.95
10705,Bandarqaali,SOM,Mudug,Hobyo,6.7,47.83
10706,Galinsoor,SOM,Galgaduud,Cadaado,6.43,46.71
10707,Jilable,SOM,Mudug,Hobyo,6.42,47.84
10708,Docol,SOM,Mudug,Gaalkacyo,6.43,47.49
10709,Wargalo,SOM,Galgaduud,Cadaado,6.26,47.52
