date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
1996-05-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1350,0.52
1996-05-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,4500,1.72
1996-05-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,5500,2.1
1996-05-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,705,0.27
1996-05-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,867,0.33
1996-05-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,669,0.26
1996-06-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,633,0.24
1996-06-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1042,0.4
1996-06-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,588,0.22
1996-06-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,2100,0.8
1996-06-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3500,1.34
1996-06-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4000,1.53
1996-06-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1863,0.71
1996-06-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4350,1.66
1996-06-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1200,0.46
1996-06-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,3500,1.34
1996-06-15,Juba Hoose,Kismaayo,Kismayo,2105,-0.36,42.55,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4500,1.72
1996-06-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,633,0.24
1996-06-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,873,0.33
1996-06-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,637,0.24
1996-07-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,800,0.31
1996-07-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1200,0.46
1996-07-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,900,0.34
1996-07-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1825,0.7
1996-07-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1100,0.42
1996-07-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4600,1.76
1996-07-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1100,0.42
1996-07-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,700,0.27
1996-07-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1325,0.51
1996-07-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,750,0.29
1996-08-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,675,0.26
1996-08-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1070,0.41
1996-08-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,700,0.27
1996-08-15,Banadir,Banadir,Bakaara,6634,2.05,45.32,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1438,0.55
1996-08-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,4000,1.53
1996-08-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4000,1.53
1996-08-15,Bari,Bossaso,Bossaso,1414,11.26,49.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,4000,1.53
1996-08-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,1200,0.46
1996-08-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,4700,1.79
1996-08-15,Bay,Baydhaba,Baidoa,2110,3.12,43.65,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,1025,0.39
1996-08-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,600,0.23
1996-08-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,975,0.37
1996-08-15,Woqooyi Galbeed,Hargeysa,Hargeysa,1419,9.56,44.07,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,625,0.24
1996-09-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Maize (white),67,KG,actual,Retail,SOS,692,0.26
1996-09-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Rice (imported),64,KG,actual,Retail,SOS,1091,0.42
1996-09-15,Awdal,Borama,Borama,1413,9.94,43.18,cereals and tubers,Sorghum (red),282,KG,actual,Retail,SOS,709,0.27
