path,extension,size_bytes,modified_utc,sha256,zero_byte,suspected_partial_download,date_from_filename,readable,error
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.27.tif,.tif,19415170,2026-08-25T11:40:55.246377+00:00,d2f674b7a4468a5a8f5bd6cade69355ffee9d3fe38efad0bc8eca6d51ee0c3c4,False,False,2026-07-27,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.28.tif,.tif,19456256,2026-08-25T11:41:24.947229+00:00,5099ae144a8345caf14f4a289a3a90bf177c78bf85b7cdb3efc8e422e7f4077b,False,False,2026-07-28,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.29.tif,.tif,19470772,2026-08-25T11:41:53.734070+00:00,2b4c519a7b24b3be9ee96d30255c0a75a2507571cc66ea582eb8935b43998ac9,False,False,2026-07-29,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.30.tif,.tif,19067798,2026-08-25T11:43:52.617865+00:00,787ee5a9f093e96c213cd6e43b5744aac053484fb7b65931f8bd6f766915d510,False,False,2026-07-30,True,
CHIRPS_Rainfall/chirps-v3.0.rnl.2026.07.31.tif,.tif,19008864,2026-08-25T11:45:06.685660+00:00,7d430ff1a17c2aa08a7b336946a64f02afbfb83652bb8cd5688dac2ce3bfe4ed,False,False,2026-07-31,True,
Earthdata-Download-x64.exe,.exe,139397200,2026-08-25T09:14:11.174197+00:00,253e3c7ede9d27a9a0017d8358783c040720e8f43f882c42f8f8ed895679f1e7,False,False,,,
raw/food_security/ipc_som.geojson,.geojson,299942,2026-08-25T11:54:21.251653+00:00,e519c5c85aa31632ee58d330136979566e4b06ed40be41dbac6a2586ac3cf588,False,False,,True,
raw/food_security/ipc_som_area_long.csv,.csv,6342750,2026-08-25T11:54:37.537718+00:00,0866cb7ddc005ffe8ff7727b5606b45556065d224ff058737b73f2b8c0d0233f,False,False,,True,
raw/food_security/ipc_som_level1_long.csv,.csv,501416,2026-08-25T11:54:27.499100+00:00,d50c07c17cbf007b95de97206efe397beaabe64917e812187fdfc7ffa9e1f95c,False,False,,True,
raw/food_security/ipc_som_national_long.csv,.csv,27423,2026-08-25T11:54:23.911731+00:00,cc313750f82b812f0db0064b82a4185df49cdfef26e333b3edd6aa53059a78f6,False,False,,True,
raw/market_prices/wfp_food_prices_som.csv,.csv,5199326,2026-08-25T11:53:37.649527+00:00,817e20e14b557a8fd525fbd009a25a187a1031498e47e14d8bd8caa482ff977e,False,False,,True,
raw/market_prices/wfp_markets_som.csv,.csv,6880,2026-08-25T11:53:40.286105+00:00,011189e09e7d07402a831520f1e82a4ed0eb6fc1188f5f2ac0633f116e8755b8,False,False,,True,
raw/population/som_pop_2025_CN_100m_R2025A_v1.tif,.tif,16149837,2026-08-25T11:58:58.859656+00:00,24dae459da35936556678d1e992b3846af70902489f07e7a38f3bbb601676dd0,False,False,,True,
raw/temperature/modis_v061_sample/MOD11A1.A2020183.h21v07.061.2021012102445__LST_Day_1km.tif,.tif,2089138,2026-08-25T12:05:25.141225+00:00,f6ad818a5dbafe2f849e8abeaf9529f0b77a9711ae01e12e7336f2de5d70e8f8,False,False,,True,
raw/temperature/modis_v061_sample/MOD11A1.A2020183.h21v07.061.2021012102445__LST_Night_1km.tif,.tif,423300,2026-08-25T12:05:31.387017+00:00,a92a49b995f175e8de66342506250b617f78a802b4e3d367a721734168f9fbdb,False,False,,True,
raw/temperature/modis_v061_sample/MOD11A1.A2020183.h21v07.061.2021012102445__QC_Day.tif,.tif,194172,2026-08-25T12:05:28.515655+00:00,02f0e0266ac4f4cad17244d60951ed318d02d32ef37bb55a01d3fad3d01d9edb,False,False,,True,
raw/temperature/modis_v061_sample/MOD11A1.A2020183.h21v07.061.2021012102445__QC_Night.tif,.tif,79342,2026-08-25T12:05:33.736739+00:00,15f3fab38c6597058da20bdb16f001c61841e729df10a6a82d15c374b1f30df0,False,False,,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_20250101_20251231_somalia_tile01.csv,.csv,3188615,2026-08-25T12:06:00.361773+00:00,e049d90fbb1bf8549292a7e6b9611efaeffba9007cdfc038c8a420aa4d6f946b,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_20250101_20251231_somalia_tile01_m2p000_41p000_5p250_46p500.csv,.csv,1302543,2026-08-25T12:07:25.008725+00:00,fc0ef208e5dc114eef7cd96f16a3d24edbc9439bc77b7e803e5666a363f43026,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_20250101_20251231_somalia_tile02_m2p000_46p500_5p250_52p000.csv,.csv,1308098,2026-08-25T12:07:28.839359+00:00,504bf68afee6e658faf5a22db2f7304e18cd68ce11810ea7ca22b94806a37463,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_20250101_20251231_somalia_tile03_5p250_41p000_12p500_46p500.csv,.csv,1243409,2026-08-25T12:07:33.080838+00:00,fb6547ba34549c32cc61988d5b7e28392ba9bbc6edd771414bbdb8bba1f0ef1c,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_20250101_20251231_somalia_tile04_5p250_46p500_12p500_52p000.csv,.csv,1248904,2026-08-25T12:07:37.424288+00:00,b72939841518283fa532d8b13378fd0de5415c0dc63a85ff55c8e3377fe4f01a,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_max_20250101_20251231_somalia_tile01_m2p000_41p000_5p250_46p500.csv,.csv,1302652,2026-08-25T12:07:41.939602+00:00,d60a3be5693b1cc20f289ca1a43de0a0767f773402f8272fb8bf3653ac1245ce,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_max_20250101_20251231_somalia_tile02_m2p000_46p500_5p250_52p000.csv,.csv,1308167,2026-08-25T12:07:46.173608+00:00,b03167de168107776d9852d44ac1dc00b95f7083de856ce514acac6931905202,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_max_20250101_20251231_somalia_tile03_5p250_41p000_12p500_46p500.csv,.csv,1243455,2026-08-25T12:07:50.488686+00:00,f44ccbb594a8a9f573a90907e7a90932d24b5dcbbf5f644ea5e361c3e4052ce8,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_max_20250101_20251231_somalia_tile04_5p250_46p500_12p500_52p000.csv,.csv,1248904,2026-08-25T12:07:53.839523+00:00,b096a226d34e8d095bfa15aff083c3c42382a1e2550987a7fc508219898c6a86,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_min_20250101_20251231_somalia_tile01_m2p000_41p000_5p250_46p500.csv,.csv,1302682,2026-08-25T12:07:57.652308+00:00,4ba48a8f2953ab765522c5c7e4666f0f6f796dda84aa6b0f9ab8363c031cf427,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_min_20250101_20251231_somalia_tile02_m2p000_46p500_5p250_52p000.csv,.csv,1308151,2026-08-25T12:08:02.061109+00:00,631006df351d757d626f3896155931634ed69f4e8f5e656cf6199655fdd5a9ee,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_min_20250101_20251231_somalia_tile03_5p250_41p000_12p500_46p500.csv,.csv,1243335,2026-08-25T12:08:07.338669+00:00,58167f2fffbc54745e43efee2f1a930eb28c65542571235a96d6ce9db5132c71,False,False,2025-01-01,True,
raw/temperature/nasa_power/nasa_power_daily_t2m_min_20250101_20251231_somalia_tile04_5p250_46p500_12p500_52p000.csv,.csv,1248915,2026-08-25T12:08:12.870792+00:00,e13fdc18bb201e46645f6fd83be3493d4a05d15b5bd430f0f4d513111091d787,False,False,2025-01-01,True,
raw/vegetation/modis_v061_sample/MOD13Q1.A2026193.h22v07.061.2026210035938__250m_16_days_EVI.tif,.tif,30673022,2026-08-25T12:03:10.047220+00:00,36bc95bd5d28ea0041698367d23670d3e6cc09fbfa1c3cfce19f03c2416bd813,False,False,,True,
raw/vegetation/modis_v061_sample/MOD13Q1.A2026193.h22v07.061.2026210035938__250m_16_days_NDVI.tif,.tif,31592670,2026-08-25T12:02:29.507218+00:00,f9973952739fcfed7f6f2a175032aab0372584e0f1528a0fddf9308c954c6aa7,False,False,,True,
raw/vegetation/modis_v061_sample/MOD13Q1.A2026193.h22v07.061.2026210035938__250m_16_days_pixel_reliability.tif,.tif,430787,2026-08-25T12:03:17.801428+00:00,b1f8a9d9e38fb7f5a669330d05b3eafce9ebf2ee6b515eb61605b050f05aeb94,False,False,,True,
raw/vegetation/modis_v061_sample/MOD13Q1.A2026193.h22v07.061.2026210035938__250m_16_days_VI_Quality.tif,.tif,1708087,2026-08-25T12:03:14.983368+00:00,baca0b19825e80b8813a12705dbfa4774c42749a15d9ce83deed666b86c37185,False,False,,True,
README.md,.md,2498,2026-08-25T12:25:25.279803+00:00,ced3d17411f2a44d8b4ffe3fb26fc953925cf4858a3ae4ce799a7d92535b9357,False,False,,,
snrfa_level_data  dollow(1).csv,.csv,115967,2026-08-25T10:18:41.105110+00:00,cdcd784aace5f8d1dc99fe3209a7128a35c4b7c4242c6674f76032bc33d8eb5c,False,False,,True,
snrfa_level_data bululo (1).csv,.csv,645901,2026-08-25T10:15:18.368301+00:00,f24113583e9eb43bf7d7a91cbbfaf2c82efc60d68fb03f2b89b2672de80b727e,False,False,,True,
snrfa_level_data joqhar (1).csv,.csv,286617,2026-08-25T10:16:23.585610+00:00,3e9b2b6715405c90b46457628f3c68cf755bf4437de4dccc34c818b3e1594dbd,False,False,,True,
snrfa_level_data luuq (1).csv,.csv,777605,2026-08-25T10:17:45.181254+00:00,2732ea37b9a1dabcf7b907bcca166bc9f827f1c04cc2cd918ee91a0b42020fd6,False,False,,True,
snrfa_level_data.csv,.csv,660441,2026-08-25T10:13:37.046836+00:00,e70d7f0c26ff4e1189264198e1195ec5e64fc4c3a63b9e22165945355186e21f,False,False,,True,
som_admin_boundaries.geojson.zip,.zip,2435213,2026-08-25T06:40:44.713437+00:00,0d9585793df7de5cde92463155495eb8bb2f419cd458ca7e6227a0de2ebe45bc,False,False,,True,
som_admin_boundaries.xlsx,.xlsx,139180,2026-08-25T06:41:08.504562+00:00,6173dddee41f2385df14622ff9bdeb6e12c8732813ff465378f639c761243aae,False,False,,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260701_R19240_001_subsetted.nc4,.nc4,1546331,2026-08-25T09:23:39.261902+00:00,d81cd3bfd6c49bec2705d11743f9a9f6673e5e5127faf9d9ab5e2b31a93f6ee1,False,False,2026-07-01,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260702_R19240_001_subsetted.nc4,.nc4,364120,2026-08-25T09:23:18.266729+00:00,8de2245ff25ccc3e66988833c2311442ce8afaf41b6fa46f980bc567803c1c18,False,False,2026-07-02,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260702_R19240_002_subsetted.nc4,.nc4,364050,2026-08-25T09:23:39.382566+00:00,01bb58fb88d1883ad315a497328517bf370f157c482dabee1fa08bffff1fcc4b,False,False,2026-07-02,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260703_R19240_001_subsetted.nc4,.nc4,1084686,2026-08-25T09:23:40.197999+00:00,4b029b8a5e5174eeb8a5c07ca7641050450c3894b7f5ba7384b0123c19bb3b73,False,False,2026-07-03,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260704_R19240_001_subsetted.nc4,.nc4,1151838,2026-08-25T09:23:42.470743+00:00,f0b67288e7cce51f4d30a9088f70b93db9b89b18f70f1935f8e097b2d668bf26,False,False,2026-07-04,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260704_R19240_002_subsetted.nc4,.nc4,1151838,2026-08-25T09:23:42.936983+00:00,e52df5838f0902bbede5d06fd1d583abaaaea94c3ebd180eeca7ad928baa6706,False,False,2026-07-04,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260705_R19240_001_subsetted.nc4,.nc4,394176,2026-08-25T09:23:44.523843+00:00,4c976457efe652cf49beb8d5bdbe5b8cc885ea94dd977feecf80c280b4922e06,False,False,2026-07-05,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260705_R19240_002_subsetted.nc4,.nc4,394176,2026-08-25T09:23:44.516892+00:00,187d7d3e019b8bd57904dbc0d98bad4437a27858a57e503187c4b0233bde659c,False,False,2026-07-05,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260706_R19240_001_subsetted.nc4,.nc4,1542794,2026-08-25T09:23:46.340357+00:00,5f8186cd841f8e6b183d90960da01fabb99374112c8fe9aa5a9ebf9c7b1e81ad,False,False,2026-07-06,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260707_R19240_001_subsetted.nc4,.nc4,654736,2026-08-25T09:23:47.272347+00:00,770e4aa82018dd0839535e124437ecac4cae2fb56d3ed4301a9447a91b3803ba,False,False,2026-07-07,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260708_R19240_001_subsetted.nc4,.nc4,678980,2026-08-25T09:23:47.532961+00:00,b867e82ac28bca529e4c48049e476e914d32f784d4e7905ffe772debe73362d9,False,False,2026-07-08,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260708_R19240_002_subsetted.nc4,.nc4,678980,2026-08-25T09:23:48.505024+00:00,63b7a3efc9bf92fccd47158de6dce6e52b3d499afdda50b2c3c50d7e6b9929d0,False,False,2026-07-08,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260709_R19240_001_subsetted.nc4,.nc4,1555852,2026-08-25T09:23:49.392411+00:00,3076b3b97277248f9dd2e9ff692a1fbbc3d66c8a9be72dcfd003f5373ae9e860,False,False,2026-07-09,True,
SPL3SMP_E_006-20260825_092003/SMAP_L3_SM_P_E_20260709_R19240_002_subsetted.nc4,.nc4,1555852,2026-08-25T09:23:50.732809+00:00,be35c8ff580f9de05a1feeeb8916a7340b28f11cc84f537a267a49af9ab59d90,False,False,2026-07-09,True,
