district_id,district_name,region_id,region_name,year,season,season_order,rainfall_mm,heavy_rain_days,valid_days,valid_pixel_fraction,baseline_mean_mm,baseline_std_mm,rainfall_anomaly_mm,rainfall_anomaly_z,percent_of_normal,source_version
SO1101,Borama,SO11,Awdal,2015,Deyr,4,35.207345602485596,0,92,1.0,45.11222595404802,32.84434271419157,-9.904880351562426,-0.3015703629009653,78.04391128548681,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2016,Gu,2,69.51046013930326,0,91,1.0,97.10452539281214,25.470568731885358,-27.594065253508873,-1.0833705970202863,71.58313153595678,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2016,Jilaal,1,1.7100585525375491,0,91,1.0,10.188889664937227,15.093599486288076,-8.478831112399678,-0.5617501060699506,16.78356139651145,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2016,Xagaa,3,3.6265247566244394,0,92,1.0,18.78310705129151,14.088272074494233,-15.15658229466707,-1.075829755027725,19.307374156583336,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2017,Deyr,4,84.14624882001898,0,92,1.0,75.426920662809,47.19085770255753,8.719328157209986,0.18476731684275868,111.55996835160376,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2017,Gu,2,100.57441199086551,1,91,1.0,97.10452539281214,25.470568731885358,3.469886598053378,0.13623121786478198,103.5733521007562,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2017,Jilaal,1,1.4548038165214692,0,90,1.0,10.188889664937227,15.093599486288076,-8.734085848415758,-0.5786615615678898,14.278335170591252,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2017,Xagaa,3,15.103786006312493,0,92,1.0,18.78310705129151,14.088272074494233,-3.679321044979016,-0.26116198108071415,80.41154195133,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2018,Deyr,4,44.813605518432325,0,92,1.0,75.426920662809,47.19085770255753,-30.61331514437667,-0.6487128362305136,59.4132772816864,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2018,Gu,2,107.52205537932461,0,91,1.0,97.10452539281214,25.470568731885358,10.417529986512477,0.4090026452166057,110.72816116897843,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2018,Jilaal,1,1.9582808966136214,0,90,1.0,10.188889664937227,15.093599486288076,-8.230608768323606,-0.5453045693839154,19.219767423261093,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2018,Xagaa,3,15.547861166175077,0,92,1.0,18.78310705129151,14.088272074494233,-3.2352458851164325,-0.22964107081475266,82.77576826729536,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2019,Deyr,4,170.9433913732641,1,92,1.0,75.426920662809,47.19085770255753,95.5164707104551,2.024046083512454,226.63445606835137,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2019,Gu,2,131.35022641839674,2,91,1.0,97.10452539281214,25.470568731885358,34.24570102558461,1.3445204693334583,135.26684352459597,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2019,Jilaal,1,1.5584612038327181,0,90,1.0,10.188889664937227,15.093599486288076,-8.630428461104508,-0.5717939229104961,15.295692220476312,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2019,Xagaa,3,14.61977600609497,0,92,1.0,18.78310705129151,14.088272074494233,-4.163331045196539,-0.29551750727003206,77.83470522833296,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2020,Deyr,4,50.59256357502364,0,92,1.0,75.426920662809,47.19085770255753,-24.834357087785357,-0.5262535647119515,67.07494238190408,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2020,Gu,2,79.84894942757927,0,91,1.0,97.10452539281214,25.470568731885358,-17.255575965232865,-0.6774711686602999,82.22989516149764,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2020,Jilaal,1,32.28904682190284,0,91,1.0,10.188889664937227,15.093599486288076,22.100157156965615,1.4642072076341175,316.9044702978612,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2020,Xagaa,3,52.10255789423435,1,92,1.0,18.78310705129151,14.088272074494233,33.31945084294284,2.365048791417453,277.3905177240196,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2021,Deyr,4,26.65787265068869,0,92,1.0,75.426920662809,47.19085770255753,-48.76904801212031,-1.0334427129828845,35.34265009950615,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2021,Gu,2,76.59006831031962,0,91,1.0,97.10452539281214,25.470568731885358,-20.514457082492513,-0.8054181003352103,78.87384032875255,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2021,Jilaal,1,1.920590535550609,0,90,1.0,10.188889664937227,15.093599486288076,-8.268299129386618,-0.5478016782476594,18.84985114874577,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2021,Xagaa,3,14.843469868477625,0,92,1.0,18.78310705129151,14.088272074494233,-3.9396371828138843,-0.2796394875100619,79.02563632280956,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2022,Deyr,4,79.60487686086633,0,92,1.0,75.426920662809,47.19085770255753,4.1779561980573305,0.08853316937765478,105.53907830432931,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2022,Gu,2,46.50728003908731,0,91,1.0,97.10452539281214,25.470568731885358,-50.59724535372482,-1.9864984518537512,47.894039799848365,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2022,Jilaal,1,5.234394461192777,0,90,1.0,10.188889664937227,15.093599486288076,-4.954495203744449,-0.32825140273832015,51.37355132233661,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2022,Xagaa,3,27.630693246370164,0,92,1.0,18.78310705129151,14.088272074494233,8.847586195078655,0.6280107417215878,147.10395447844877,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2023,Deyr,4,135.28654516608788,0,92,1.0,75.426920662809,47.19085770255753,59.85962450327888,1.2684580746671779,179.36108749670072,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2023,Gu,2,113.70856679351151,1,91,1.0,97.10452539281214,25.470568731885358,16.604041400699373,0.6518912700961241,117.09914273668696,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2023,Jilaal,1,45.477849495748984,1,90,1.0,10.188889664937227,15.093599486288076,35.288959830811756,2.3380082307649905,446.3474528755649,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2023,Xagaa,3,33.81618004565779,0,92,1.0,18.78310705129151,14.088272074494233,15.033072994366279,1.0670629382280696,180.03507062657462,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2024,Deyr,4,67.20548036935013,0,92,1.0,75.426920662809,47.19085770255753,-8.221440293458869,-0.174216801594884,89.10012470187897,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2024,Gu,2,114.4153343243192,0,91,1.0,97.10452539281214,25.470568731885358,17.31080893150707,0.6796396701513977,117.82698474811603,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2024,Jilaal,1,1.4979439427299166,0,91,1.0,10.188889664937227,15.093599486288076,-8.69094572220731,-0.5758033880588048,14.701738776156876,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2024,Xagaa,3,10.326361466488777,0,92,1.0,18.78310705129151,14.088272074494233,-8.456745584802732,-0.6002684743796963,54.97685467207485,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2025,Deyr,4,28.551014707105185,0,92,1.0,75.426920662809,47.19085770255753,-46.875905955703814,-0.9933260007936527,37.85255245238048,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2025,Gu,2,112.71264293070608,1,91,1.0,97.10452539281214,25.470568731885358,15.608117537893946,0.6127903032787371,116.07352229440924,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2025,Jilaal,1,2.983893173723523,0,90,1.0,10.188889664937227,15.093599486288076,-7.204996491213704,-0.47735442415569274,29.28575410912457,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1401,Laas Caanood,SO14,Sool,2025,Xagaa,3,5.035864070353128,0,92,1.0,18.78310705129151,14.088272074494233,-13.747242980938381,-0.9757934051988348,26.81060197656099,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2015,Deyr,4,99.14531074996962,0,92,1.0,71.15368220479392,64.733946343721,27.9916285451757,0.4324103523141812,139.3396767079607,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2015,Gu,2,129.6476223881782,1,91,1.0,135.46340562519273,41.90617239386589,-5.815783237014529,-0.13878106505059448,95.70674957552305,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2015,Jilaal,1,23.731247801704495,0,90,1.0,17.36127373208769,23.965083971478318,6.369974069616806,0.26580228457358773,136.6907069603056,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2015,Xagaa,3,14.223369554950173,0,92,1.0,34.04055230446078,15.571732126763298,-19.817182749510607,-1.2726383030601078,41.783603943130785,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
SO1402,Caynabo,SO14,Sool,2016,Deyr,4,19.716823116253277,0,92,1.0,71.15368220479392,64.733946343721,-51.43685908854064,-0.7945886508358974,27.71019363341518,CHIRPS v3 daily final rnl p25; Somalia climatological-season aggregate
